Dataset,Indicator,Countries,Year,Flags,Value
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2015,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2016,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2017,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2018,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2019,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2020,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Germany,2021,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2015,,0.3
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2016,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2017,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2018,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2019,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2020,,0.5
Key indicators on VET,Average number of foreign languages learned in IVET,Spain,2021,,0.4
Key indicators on VET,Average number of foreign languages learned in IVET,France,2015,,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,France,2016,,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,France,2017,(d) definition differs,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,France,2018,,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,France,2019,,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,France,2020,,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,France,2021,,1.3
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2015,(d) definition differs,1.4
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2016,(d) definition differs,1.4
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2017,,1.4
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2018,,1.4
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2019,,1.5
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2020,,1.6
Key indicators on VET,Average number of foreign languages learned in IVET,Italy,2021,,1.5
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2015,,26.4
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2016,,26
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2017,,24.1
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2018,,23.7
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2019,,26.8
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2020,(b) break in time series,30.2
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2021,(b) break in time series,20.1
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Germany,2022,,29.1
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2015,,9.4
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2016,,16.7
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2017,,2.3
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2018,,5.9
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2019,,12.4
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2020,,-1.2
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2021,(b) break in time series (d) definition differs,15.4
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),Spain,2022,(d) definition differs,-4.9
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),France,2015,,-4
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),France,2016,(u) low reliability,13.4
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),France,2017,,14.6
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),France,2018,,25
Key indicators on VET,Employment premium for recent IVET graduates (over general stream) (%),France,2019,,18.2
